Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
92,16886948,"deborah irakoze","2026-09-13 16:04:47",0.81014,10,deborahirakoze
93,16532977,"Olesia Lisitskaia","2026-07-29 22:41:26",0.80991,13,olesialisitskaia
94,15719959,"Yueqing Huang","2026-08-03 16:27:02",0.80991,6,yueqinghuang
95,16696489,Vaishnavi22052006,"2026-08-09 14:33:32",0.80991,1,vaishnavi22052006
96,16662344,"Anastassiya Tseluiko","2026-08-10 14:08:37",0.80991,8,anastassiyatseluiko
97,16724311,"Vincent Heng","2026-08-15 15:36:45",0.80991,2,vincenthwq
98,16786582,"Inusha Thathsara","2026-08-30 16:22:01",0.80991,11,inushathathsara
99,16844485,"Yusuf Erdem ALTINSOY","2026-09-07 13:50:06",0.80991,11,yusuferdemaltinsoy
100,16673948,vuhoangnam2104,"2026-08-06 08:37:41",0.80967,2,vuhoangnam2104
101,16661120,"Murat Can Yaman","2026-08-15 07:19:01",0.80967,8,muratcanyaman
102,16743654,niloy219,"2026-08-19 16:31:10",0.80967,1,niloy219
103,16775510,cengizmenten1,"2026-09-10 10:42:12",0.80967,7,cengizmenten1
104,16778143,"Afnan Altamimi","2026-08-28 15:38:34",0.80967,13,afnanaltamimi98
105,16786261,DD_AI_Studio,"2026-09-01 04:30:38",0.80967,5,ddaistudio
106,16791281,-Rish-it_agrawal-,"2026-08-31 20:23:30",0.80967,7,rishitagrawal2007
107,16793244,wxkj99,"2026-09-01 11:37:32",0.80967,5,wxkj99
108,10213344,"Malcolm ","2026-09-23 02:58:22",0.80967,5,myhlow
109,15304113,Harmesh,"2026-07-27 18:55:05",0.80944,1,harmesh095
110,16612734,Hariprasath-Payoda,"2026-07-29 08:44:46",0.80944,1,hariprasathpayoda
111,16621875,"Иванов Матвей","2026-07-30 19:45:11",0.80944,10,pohrenu
112,16620868,"Потылицын Егор","2026-08-06 18:28:08",0.80944,10,quantum776
113,16753407,"Hyesung Ji","2026-08-24 06:00:10",0.80944,10,hyesungjis2
114,16764895,"nogay ji","2026-08-24 06:07:37",0.80944,1,nogayji
115,16771299,"Alexey Merejine","2026-08-25 17:33:36",0.80944,9,alexeymerejine
116,15287933,"Qixin Xu","2026-09-01 21:23:41",0.80944,74,qixinxu
117,16634508,"poignant padaeng","2026-08-30 15:13:47",0.80944,26,poignantpadaeng
118,16871677,devsungyeon,"2026-09-11 08:38:02",0.80944,3,devsungyeon
119,16867624,"Mireille Ingabire","2026-09-11 12:50:31",0.80944,5,mireilleingabire
120,16885681,mseokq,"2026-09-20 14:02:53",0.80944,12,mseokq
121,16610093,"ARCHANA R M","2026-07-31 03:55:24",0.80921,5,archanahaha
122,16640853,Vansh_Mishra_26,"2026-08-02 11:06:27",0.80921,5,vanshmishra26
123,8295078,"Adam Tassabehji","2026-08-31 13:01:26",0.80921,2,adamtassabehji
124,16799644,HhhLL3526,"2026-09-01 09:46:57",0.80921,6,hhhll3526
125,16768698,YizhuoGao77,"2026-09-07 05:41:21",0.80921,15,yizhuogao77
126,16935887,FengPro,"2026-09-21 12:05:28",0.80921,9,fengpro
127,16922708,"Ardahan Doğru","2026-09-21 22:39:01",0.80921,4,ardahandoru
128,16943878,"Erick Mendonça_FMU262","2026-09-23 04:10:49",0.80921,20,erickmendona
129,16628858,"Mathiarasu R S","2026-07-31 09:16:12",0.80897,1,mathiarasurs005
130,16637440,MikTi05,"2026-08-05 20:51:38",0.80897,1,mikhailt95
131,16697482,"Jacopo Dalmasso","2026-08-10 01:08:47",0.80897,19,jdalmasso
132,16720089,"Manthan Waghela","2026-08-22 08:50:51",0.80897,8,manthanwaghelamoons
133,16799734,"Priti Yadav","2026-09-01 08:30:22",0.80897,7,priti0812
134,16889737,"Suphakit Fanfueai","2026-09-14 06:34:33",0.80897,1,suphakitfanfueai
135,16926842,"Gry Krcy","2026-09-21 11:11:48",0.80897,2,grykrcy
136,16941624,"Yoshihiro Ando","2026-09-22 13:24:28",0.80897,7,yoshihiroando
137,14788445,leoYuyty,"2026-07-26 11:40:22",0.80874,6,leoyuyty
138,16660312,"Ramez Malak","2026-08-08 22:48:51",0.80874,5,ramezmalak
139,16696578,"maximo lorenzo y losada","2026-08-12 13:04:12",0.80874,4,maximolorenzoylosada
140,12273803,Tizheruk,"2026-08-15 14:04:57",0.80874,2,tizheruk
141,16728388,"Nishith Ramanuj","2026-08-16 19:58:31",0.80874,1,nishithramanuj
142,16762464,"loutairi labgaa","2026-08-25 10:34:25",0.80874,7,loutairilabgaa
143,16767447,"NDAYISABA KAMARIZA Belie","2026-08-25 11:44:49",0.80874,1,nkbelie
144,16756484,"Siddharth Patel","2026-08-26 04:41:42",0.80874,28,siddhugp
145,16811950,"Mariana Gómez Hernández","2026-09-03 04:21:32",0.80874,6,mrianagmezherndezz
146,16765744,"Arnav Singh","2026-09-04 07:57:10",0.80874,4,arnav12515500088
147,16821475,"tatiana contreras castillo","2026-09-04 15:11:59",0.80874,4,tatianac18
148,16811432,"Camila Carrillo","2026-09-04 15:12:40",0.80874,3,marcamila16
149,16823169,"sebastian Aguilar","2026-09-04 15:13:21",0.80874,3,sebastianaguilar00
150,16832261,"Juan Diego Cano Vargas","2026-09-04 16:59:26",0.80874,1,juandiegocanovargas
151,14591869,juzhongren,"2026-09-12 11:23:34",0.80874,10,juzhongren
152,16886525,MEDICODE,"2026-09-13 14:21:43",0.80874,5,insunglee0818
153,16898145,"padma akash","2026-09-15 17:57:37",0.80874,1,padmaakash
154,16942776,601474-Paphachanok,"2026-09-22 19:16:08",0.80874,9,paphachanokpoti
155,16947438,"Nam Khánh Trần","2026-09-23 13:43:26",0.80874,3,namkhnhtrnmta
156,16607927,Kaviya,"2026-07-29 08:36:45",0.80851,5,sachinkaviya
157,16619537,"qr Z1201","2026-07-30 14:50:38",0.80851,4,qrz1201
158,16631795,"Matheus Bonjour Laviola da Silva","2026-07-31 14:30:30",0.80851,1,matheusbonjour
159,16202793,"d d d","2026-08-04 15:25:40",0.80851,3,dddmddd
160,16707003,Sybery_AI,"2026-08-11 13:59:46",0.80851,6,syberyai
161,15520442,"arashk heydari","2026-08-13 06:40:58",0.80851,13,arashkheydari
162,16760900,"Kevin Zhang","2026-08-23 12:55:04",0.80851,2,thegr8kev
163,16763261,Morphleang,"2026-08-23 22:10:09",0.80851,1,morphleang
164,16771194,"Kacper Bor","2026-08-30 14:27:27",0.80851,38,kacperbor
165,16742953,CryptoBTC,"2026-09-08 17:10:49",0.80851,4,cryptobtc
166,16866623,"Anne Marie TWAGIRAYEZU","2026-09-13 19:20:46",0.80851,7,annemarie257
167,16921700,"Cristian Muñoz","2026-09-19 16:22:16",0.80851,2,cristianmuozz
168,16928046,Hakid999,"2026-09-20 06:34:38",0.80851,10,hxakxids
169,16877344,"Bohdan Ivanyshyn","2026-09-20 18:10:47",0.80851,7,bohdanivanyshyn
170,16045166,"Ziad Roshdy","2026-08-01 18:42:30",0.80827,5,ziadzika
171,16589543,"Vinay Rai","2026-07-28 15:47:19",0.80827,14,vinay24baghira
172,16632993,Arkadiy,"2026-08-05 02:00:47",0.80827,18,darwin22010
173,16632688,"[Deleted] a57fbe57-0b60-4af9-8062-ba85ccd2a956","2026-07-31 22:22:55",0.80827,5,del=db75a9b899f81ae7
174,16645728,"Prasanna Shakya","2026-09-21 19:03:14",0.80827,4,djskeleton
175,16654185,"P.Lakshmi Sainath Reddy","2026-08-03 18:59:13",0.80827,1,plakshmisainathreddy
176,16606243,"Maxim Maximov","2026-08-04 01:27:54",0.80827,8,mmmaximov
177,16656891,Damo_Zen,"2026-08-05 03:39:58",0.80827,8,damozen
178,15402843,GezaMod,"2026-09-08 17:17:42",0.80827,8,gezamod
179,12078396,さめしま,"2026-08-11 03:15:49",0.80827,14,masahikosameshima
180,16745408,"Rizki Surya Nugroho","2026-08-20 04:02:00",0.80827,1,rizkisuryanugroho
181,16772233,"Guilherme Raiuga","2026-09-12 01:04:49",0.80827,20,guilhermeraiuga
182,16846196,superGuma,"2026-09-07 06:08:33",0.80827,1,superguma
183,16865353,"Shiling Deng","2026-09-10 07:39:51",0.80827,2,shilingdeng
184,10828850,"Pejman Shojaee","2026-09-14 11:00:54",0.80827,1,amirtanha
185,16892150,"Tony He #2","2026-09-19 22:58:15",0.80827,10,tonyyang0504
186,16558642,EshankArora,"2026-09-20 05:11:44",0.80827,5,eshankarora
187,16928678,"Meruyert Sagyndyk 26MD0271","2026-09-20 09:35:53",0.80827,1,mmmm1202
188,16947456,"Loch Ma","2026-09-23 12:44:06",0.80827,1,lochma
189,16588919,"liu kun","2026-07-29 09:54:30",0.80804,1,kunliu97
190,16613116,"VikashiniSri M","2026-07-30 07:38:01",0.80804,7,vikashinisrim
191,15844178,Tokenizers,"2026-08-01 15:40:56",0.80804,2,"shourjabanerjee,shreyanshisingh237"
192,16643292,BLEbleBle,"2026-08-02 16:57:14",0.80804,1,blebleble123
193,16631630,RezaMirzaeii,"2026-08-24 11:13:05",0.80804,24,rezamirzaeii
194,16690949,Lucifus,"2026-08-08 21:47:29",0.80804,2,lucifus
195,16706105,"Projekt Hortensia","2026-08-11 07:46:16",0.80804,3,projekthortensia
196,16727521,"Rishi Shekhar","2026-08-16 08:02:26",0.80804,10,rishishekhar10
197,16611195,UsamaRamzan011,"2026-08-17 13:50:03",0.80804,2,usamaramzan011
198,16761426,NadaOmar777,"2026-08-23 14:55:30",0.80804,3,nadaomar777
199,16305885,Adam12399,"2026-08-31 17:52:08",0.80804,16,adam12399
200,16780665,"Sam Musoni","2026-08-27 17:37:01",0.80804,2,sammusoni
201,16832086,kozumeKenma05,"2026-09-04 16:11:47",0.80804,3,kozumekenma05
202,16831899,Salejandrolopez,"2026-09-04 16:13:00",0.80804,2,salejandrolopez
203,16830845,"Liseth J Gomez","2026-09-04 16:13:41",0.80804,1,lisethjgomez
204,16830891,"Johan Guerrero F","2026-09-04 16:13:46",0.80804,6,somosdosexclusivo
205,16831921,"yedrik icabuco","2026-09-04 16:14:45",0.80804,2,yedrikicabuco
206,16830830,"jose armando ortega gonzalez","2026-09-04 16:15:12",0.80804,8,joseortegagonzalez
207,16870675,"Ikuzwe Pascaline","2026-09-15 17:58:22",0.80804,10,ikuzwepascaline
208,16896613,"Inezayimana Henriette","2026-09-16 11:36:42",0.80804,7,inezayimanahenriette
209,8846892,ssnsos,"2026-09-17 17:27:22",0.80804,2,stg44g3g36hk416hk417
210,16862830,"Diego Viana Gomes","2026-09-19 10:31:03",0.80804,3,diegovianagomes
211,16941929,"Yessenkeldi Satybaldin - 26MD0277","2026-09-22 14:28:55",0.80804,3,ysatybaldin
212,16644825,hahayueyueyue,"2026-08-03 08:32:39",0.80780,8,hahayueyueyue
213,16098441,"Qianyi Xing","2026-08-27 08:10:30",0.80780,2,qianyixing822
214,16629739,FlameZywoo,"2026-08-10 11:41:15",0.80780,7,zgdllt
215,16027429,agarciabl,"2026-08-25 07:49:48",0.80780,25,albertogarcablas
216,16711651,"G .vitlab2","2026-09-10 07:07:50",0.80780,19,gvitlab2
217,16701838,"Liu xiayun","2026-08-15 11:20:36",0.80780,12,liuxiayun
218,16707893,"Samiksha Chavan","2026-08-13 09:39:35",0.80780,2,samikshachavan22
219,12676110,computersoul,"2026-08-16 03:12:06",0.80780,5,computersoul
220,16750605,"Habiba Muhammed","2026-08-23 02:37:39",0.80780,7,habibamuhammed1
221,16761687,afrithero,"2026-08-23 13:30:19",0.80780,2,afrithero
222,16767321,geminitop777,"2026-08-24 18:57:09",0.80780,1,geminitop777
223,16794036,woldy,"2026-08-30 23:25:12",0.80780,10,woldywei
224,16801814,"Hasini Sai Reddy Kotla","2026-09-01 08:44:17",0.80780,1,hasinisaireddykotla
225,16673108,Aditya0212-2-2,"2026-09-03 06:50:35",0.80780,10,aditya021222
226,16746462,Vrushan,"2026-09-06 14:05:33",0.80780,20,vrushan
227,16830993,"JG Moony","2026-09-04 16:02:34",0.80780,10,jgmoony
228,16865363,"Nadia TETA","2026-09-10 12:16:18",0.80780,9,nadiateta
229,16766061,"scum Lizard","2026-09-12 08:00:41",0.80780,4,scumlizard
230,16865248,"abijuru diana","2026-09-13 19:32:11",0.80780,5,abijurudiana
231,16884960,"ronger zhu","2026-09-13 07:28:27",0.80780,5,rongerzhu
232,16888002,"annet debhora ","2026-09-14 00:40:14",0.80780,7,annetdebhora
233,16889678,goryki,"2026-09-14 07:31:01",0.80780,5,goryki
234,16889847,"Amonwan Phimphichai","2026-09-14 07:16:40",0.80780,6,amonwanphimphichai
235,16933164,SiberianDs,"2026-09-22 07:33:55",0.80780,13,siberiands
236,16697713,"Muhammad Ilman","2026-09-22 20:07:44",0.80780,2,muhammadilman896
237,16947425,"Bo Doi Hoc AI","2026-09-23 13:24:49",0.80780,3,bodoihocai
238,16596579,omom,"2026-07-28 09:50:25",0.80757,4,zxyxenia
239,16608422,"NANDHAKUMAR K AIML","2026-07-29 10:41:39",0.80757,5,nandhakumarkaiml
240,16535864,"Dwi Eflatino","2026-07-30 04:11:50",0.80757,10,eflatino
241,16621542,"Андрей Малаховский","2026-08-02 07:37:41",0.80757,8,andreym1234
242,16716128,Hagepiyo,"2026-08-17 09:57:55",0.80757,21,hagepiyo
243,16760910,lixiuqixiaoke,"2026-08-24 05:24:10",0.80757,18,lixiuqixiaoke
244,16750617,Vecneta,"2026-08-23 09:59:40",0.80757,1,vecneta
245,16844289,"Danial Rashidi","2026-09-11 14:39:44",0.80757,11,danialrashidi
246,16864629,Aline,"2026-09-11 05:17:28",0.80757,7,nyiranizeyimanaaline
247,16797373,"Alexey Ulutichev","2026-09-16 09:12:01",0.80757,25,alexeyulutichev
248,16925413,"Nguyễn Cường","2026-09-19 13:07:01",0.80757,1,nguyncngo
249,16731324,"sekiro jo","2026-09-22 14:20:15",0.80757,8,sekirojo
250,16472007,max.scott3,"2026-07-27 07:54:37",0.80734,4,maxscott3
251,16608349,"DAVI Ekué","2026-07-29 14:18:42",0.80734,14,ekumartial
252,16406774,shisan92,"2026-07-30 04:15:51",0.80734,6,shisan92
253,16612490,"Yahia Baamara","2026-07-31 09:25:59",0.80734,19,yahiabaamara
254,16683716,"Labh Khatke","2026-08-11 13:58:13",0.80734,22,labhkhatke
255,16701947,"Angelo Farah","2026-08-11 09:01:41",0.80734,2,angfarah
256,16632181,"Volodymyr Kalynchuk","2026-08-13 11:00:12",0.80734,14,volodymyrkalynchuk
257,16693423,BillDoser,"2026-08-16 13:49:09",0.80734,4,billdoser
258,16736313,lyndenloz5,"2026-08-18 08:05:41",0.80734,1,lyndenloz5
259,16775155,"elo bsfed","2026-08-26 13:30:37",0.80734,2,elobsfed
260,16779175,Abdulla332,"2026-08-27 11:31:13",0.80734,1,abdulla332
261,16768952,OmegaTau,"2026-08-30 10:31:04",0.80734,8,omegataul
262,16754625,"kiyarash the shas","2026-08-30 12:26:40",0.80734,4,kiyarashtheshas
263,16688124,"Ivan Synkovskyi","2026-09-20 22:54:11",0.80734,54,ivansynkovskyi
264,16798106,"Gökmen KÜÇÜKAYDIN","2026-09-07 20:16:26",0.80734,13,gkmenkkaydin
265,16847601,"Yossef Elshamy","2026-09-11 22:11:49",0.80734,2,yossefelshamy
266,16871298,Edgar2025,"2026-09-11 06:56:07",0.80734,1,"edgar2025,yihangzhao612"
267,16923371,"PANDU TIMUR BHASKARA","2026-09-19 04:54:02",0.80734,2,panduugm
268,16923019,AIP-UGM-1,"2026-09-19 05:08:13",0.80734,10,"hasnanhusaini,nursektiwj,pandutimurbhaskara,syifaur"
269,16924513,"Dustin Powers","2026-09-19 09:51:59",0.80734,2,dustinpowers
270,16930350,RAWA13,"2026-09-20 13:58:19",0.80734,5,rawa13
271,16921512,DSDSDS1111,"2026-09-22 19:13:23",0.80734,3,dsdsds1111
272,16859297,"Miguel Ángel López","2026-09-23 10:44:07",0.80734,44,modelmclearny
273,16615329,p0s1fix,"2026-07-29 21:32:35",0.80710,9,p0s1fix
274,16623159,"Bretokce 3amich","2026-08-02 18:29:44",0.80710,29,bretokce3amich
275,16635959,Makarov_Yegor__,"2026-08-01 17:43:51",0.80710,1,yegormakarov17
276,16632416,"Phạm Huy hihi","2026-08-06 08:00:50",0.80710,5,phmhuyhihi
277,15316788,"armin shojapour","2026-08-14 12:00:55",0.80710,9,arminshojapour
278,16719723,Wasim,"2026-08-14 03:59:44",0.80710,1,akwasimm
279,16716922,"Hiroaki Sato","2026-08-16 06:19:11",0.80710,23,hiroakisato759
280,16728421,Jim879793123,"2026-08-17 03:34:01",0.80710,3,jim879793123
281,13874681,"Yogesh Jadhav","2026-08-28 14:40:32",0.80710,78,dynamo14324
282,16742463,"GOLAM RABBANI NAYEM ","2026-08-19 11:35:58",0.80710,1,golamrabbaninayem
283,16762297,PARTHKUMAR127,"2026-08-23 13:25:16",0.80710,1,parthkumar127
284,16728789,Frankenpower,"2026-08-23 14:37:40",0.80710,2,frankenpower
285,15009373,"basant elsayed","2026-08-23 23:07:19",0.80710,9,basantelsayed
286,16780433,callmejaso,"2026-08-31 11:23:59",0.80710,12,callmejaso
287,16712249,julhooo,"2026-09-02 19:18:59",0.80710,12,julhooo
288,16889702,"Sitthichok Moknak","2026-09-14 08:26:40",0.80710,10,sitthichokmoknak
289,16891012,"Kamil Kula","2026-09-14 13:50:55",0.80710,7,kamilowski32
290,16913531,EmilienWag,"2026-09-17 10:46:59",0.80710,10,emilienwag
291,16925621,Zainheho,"2026-09-20 04:50:21",0.80710,5,zainheho
292,14949899,"viki kannan","2026-07-30 16:30:45",0.80687,3,vikikannan
293,16640372,"Avvy Lavoienne","2026-08-04 06:59:29",0.80687,9,avvylavoienne
294,15770142,Mobzya,"2026-08-03 22:32:24",0.80687,1,mobzya
295,15186177,"Hongbin Guokaggle","2026-08-06 14:09:37",0.80687,10,hongbinguokaggle
296,15668087,yanxi777,"2026-08-09 08:22:40",0.80687,2,yanxi777
297,16707888,"Loïc FERON","2026-08-12 16:44:54",0.80687,10,ciooll
298,16752931,Getaneh,"2026-08-21 13:07:37",0.80687,3,getanek
299,16760039,"Pavel Shiltsov","2026-08-23 15:30:01",0.80687,6,pavelshiltsov
300,16771776,OD,"2026-08-29 22:25:32",0.80687,6,ouzdenizseven
301,15402179,"Turan Mamedovi","2026-08-29 15:03:29",0.80687,1,"egepeh04,turanmamedovi"
302,14699131,"Akshay Singh Bchehhat","2026-09-05 19:55:56",0.80687,8,akshaysinghbchehhat
303,16840380,GLFH,"2026-09-18 09:01:24",0.80687,32,ferdinand1824
304,16663865,RandomLumberjack,"2026-09-06 11:55:27",0.80687,4,randomlamberjack
305,10244583,"Sankalp Thakur","2026-09-07 19:59:55",0.80687,24,sankalpsthakur
306,16838689,"Bandaru Chaitanya sree","2026-09-13 16:52:30",0.80687,2,bandaruchaitanyasree
307,16920233,Jun-Jun,"2026-09-20 19:42:18",0.80687,8,junjpn
308,16918508,tianleCai,"2026-09-20 12:44:05",0.80687,3,nomoremeeting
309,16890812,"Vimal Sahani","2026-09-21 06:18:06",0.80687,2,nvimalcbn05
310,16940746,"Mahmoud Abdel Hamid Abdel Rahman","2026-09-22 08:49:34",0.80687,1,abdhamiud
311,16944014,"Alessandro Daniele","2026-09-23 05:15:44",0.80687,4,alessandrodaniele07
312,16623773,"YJ Wee 2807","2026-07-31 03:16:18",0.80664,4,yjwee2807
313,16633545,"Дмитрий Дробышевский","2026-07-31 22:48:32",0.80664,6,harddimas
314,14041016,"Krzysztof Kuznak","2026-08-01 07:37:08",0.80664,1,krzysztofkuznak
315,16690372,"Timmy #2","2026-08-08 20:47:09",0.80664,10,skvorechik
316,15986482,Skvorec,"2026-08-09 06:30:25",0.80664,9,skvorec0
317,16706623,Devesh,"2026-08-11 10:50:41",0.80664,1,deveshkawaii
